run,id,freq,s11,s12,x,y,z,note
1,152,3458333333.33333,-11.7791185379028,-37.971378326416,4.52999999999999,0,0,2023_05_11_02 -
1,152,3500000000,-8.92361450195313,-38.0285110473633,4.52999999999999,0,0,2023_05_11_02 -
1,152,3541666666.66667,-6.9145393371582,-38.2995643615723,4.52999999999999,0,0,2023_05_11_02 -
1,152,3583333333.33333,-8.16121673583984,-38.2621192932129,4.52999999999999,0,0,2023_05_11_02 -
1,152,3625000000,-12.6717681884766,-37.6726608276367,4.52999999999999,0,0,2023_05_11_02 -
1,152,3666666666.66667,-9.61974334716797,-38.5398139953613,4.52999999999999,0,0,2023_05_11_02 -
1,152,3708333333.33333,-7.0124397277832,-39.6330184936523,4.52999999999999,0,0,2023_05_11_02 -
1,152,3750000000,-8.22054004669189,-40.4237098693848,4.52999999999999,0,0,2023_05_11_02 -
1,152,3791666666.66667,-13.3322200775146,-41.7078857421875,4.52999999999999,0,0,2023_05_11_02 -
1,152,3833333333.33333,-12.9044809341431,-42.5152130126953,4.52999999999999,0,0,2023_05_11_02 -
1,152,3875000000,-8.06808853149414,-42.4558639526367,4.52999999999999,0,0,2023_05_11_02 -
1,152,3916666666.66667,-6.75969743728638,-42.8768119812012,4.52999999999999,0,0,2023_05_11_02 -
1,152,3958333333.33333,-8.33641815185547,-44.6312675476074,4.52999999999999,0,0,2023_05_11_02 -
1,152,4000000000,-8.58023643493652,-46.3248291015625,4.52999999999999,0,0,2023_05_11_02 -
1,152,4041666666.66667,-5.37181091308594,-48.3766860961914,4.52999999999999,0,0,2023_05_11_02 -
1,152,4083333333.33333,-4.71130704879761,-47.9222183227539,4.52999999999999,0,0,2023_05_11_02 -
1,152,4125000000,-6.24606895446777,-46.9303131103516,4.52999999999999,0,0,2023_05_11_02 -
1,152,4166666666.66667,-6.81868171691895,-46.3757057189941,4.52999999999999,0,0,2023_05_11_02 -
1,152,4208333333.33333,-4.98021650314331,-47.386474609375,4.52999999999999,0,0,2023_05_11_02 -
1,152,4250000000,-4.94401121139526,-47.0067749023438,4.52999999999999,0,0,2023_05_11_02 -
1,152,4291666666.66667,-7.2039647102356,-44.5110054016113,4.52999999999999,0,0,2023_05_11_02 -
1,152,4333333333.33333,-8.51855754852295,-42.7878913879395,4.52999999999999,0,0,2023_05_11_02 -
1,152,4375000000,-6.94741535186768,-42.0005683898926,4.52999999999999,0,0,2023_05_11_02 -
1,152,4416666666.66667,-7.57529354095459,-40.2334098815918,4.52999999999999,0,0,2023_05_11_02 -
1,152,4458333333.33333,-11.8310375213623,-37.9080352783203,4.52999999999999,0,0,2023_05_11_02 -
1,152,4500000000,-17.0710601806641,-37.6270027160645,4.52999999999999,0,0,2023_05_11_02 -
1,152,4541666666.66667,-11.435905456543,-38.6978302001953,4.52999999999999,0,0,2023_05_11_02 -
1,152,4583333333.33333,-8.05288505554199,-39.5167808532715,4.52999999999999,0,0,2023_05_11_02 -
1,152,4625000000,-7.85631370544434,-38.4507141113281,4.52999999999999,0,0,2023_05_11_02 -
1,152,4666666666.66667,-11.7646713256836,-37.8778495788574,4.52999999999999,0,0,2023_05_11_02 -
1,152,4708333333.33333,-10.4138250350952,-38.6290016174316,4.52999999999999,0,0,2023_05_11_02 -
1,152,4750000000,-6.96473360061646,-38.4660797119141,4.52999999999999,0,0,2023_05_11_02 -
1,152,4791666666.66667,-6.94561052322388,-37.9958877563477,4.52999999999999,0,0,2023_05_11_02 -
1,152,4833333333.33333,-13.4373435974121,-38.0658302307129,4.52999999999999,0,0,2023_05_11_02 -
1,152,4875000000,-15.5638732910156,-39.0224838256836,4.52999999999999,0,0,2023_05_11_02 -
1,152,4916666666.66667,-9.8327522277832,-39.2868499755859,4.52999999999999,0,0,2023_05_11_02 -
1,152,4958333333.33333,-8.26414203643799,-38.386474609375,4.52999999999999,0,0,2023_05_11_02 -
1,152,5000000000,-9.76565837860107,-37.7983856201172,4.52999999999999,0,0,2023_05_11_02 -
1,152,5041666666.66667,-19.7799186706543,-41.4962692260742,4.52999999999999,0,0,2023_05_11_02 -
1,152,5083333333.33333,-14.6817102432251,-43.4696617126465,4.52999999999999,0,0,2023_05_11_02 -
1,152,5125000000,-6.33283615112305,-42.0706672668457,4.52999999999999,0,0,2023_05_11_02 -
1,152,5166666666.66667,-5.1495680809021,-44.9746398925781,4.52999999999999,0,0,2023_05_11_02 -
1,152,5208333333.33333,-10.4347257614136,-49.4942169189453,4.52999999999999,0,0,2023_05_11_02 -
1,152,5250000000,-29.5515193939209,-48.2349510192871,4.52999999999999,0,0,2023_05_11_02 -
1,152,5291666666.66667,-6.01446390151978,-46.8832740783691,4.52999999999999,0,0,2023_05_11_02 -
1,152,5333333333.33333,-3.93962669372559,-49.6639099121094,4.52999999999999,0,0,2023_05_11_02 -
1,152,5375000000,-7.15340328216553,-50.0968399047852,4.52999999999999,0,0,2023_05_11_02 -
1,152,5416666666.66667,-19.7751655578613,-48.4313735961914,4.52999999999999,0,0,2023_05_11_02 -
1,152,5458333333.33333,-6.75385522842407,-45.1063842773438,4.52999999999999,0,0,2023_05_11_02 -
1,152,5500000000,-4.79259157180786,-43.7997207641602,4.52999999999999,0,0,2023_05_11_02 -
1,152,5541666666.66667,-7.79126262664795,-42.297534942627,4.52999999999999,0,0,2023_05_11_02 -
1,152,5583333333.33333,-19.4388198852539,-40.7297172546387,4.52999999999999,0,0,2023_05_11_02 -
1,152,5625000000,-13.6253080368042,-37.7110595703125,4.52999999999999,0,0,2023_05_11_02 -
1,152,5666666666.66667,-7.25986289978027,-38.6641159057617,4.52999999999999,0,0,2023_05_11_02 -
1,152,5708333333.33333,-6.09679508209229,-40.0114974975586,4.52999999999999,0,0,2023_05_11_02 -
1,152,5750000000,-9.40976619720459,-37.724479675293,4.52999999999999,0,0,2023_05_11_02 -
1,152,5791666666.66667,-13.688440322876,-36.1570510864258,4.52999999999999,0,0,2023_05_11_02 -
1,152,5833333333.33333,-5.31692886352539,-38.3436126708984,4.52999999999999,0,0,2023_05_11_02 -
1,152,5875000000,-4.9822211265564,-38.3252258300781,4.52999999999999,0,0,2023_05_11_02 -
1,152,5916666666.66667,-9.13108539581299,-37.286506652832,4.52999999999999,0,0,2023_05_11_02 -
1,152,5958333333.33333,-12.0603914260864,-37.8338394165039,4.52999999999999,0,0,2023_05_11_02 -
1,152,6000000000,-6.4599723815918,-37.986457824707,4.52999999999999,0,0,2023_05_11_02 -
1,153,1000000000,-1.15067160129547,-73.6912689208984,4.55999999999999,0,0,2023_05_11_02 -
1,153,1041666666.66667,-1.479611992836,-65.1376495361328,4.55999999999999,0,0,2023_05_11_02 -
